"Time","relative_humidity.mean {site_location: fhz}"
2018-07-27 09:42:00,31.6
2018-07-27 09:44:00,31.7
2018-07-27 09:46:00,31.8
2018-07-27 09:48:00,31.9
2018-07-27 09:50:00,31.8
2018-07-27 09:52:00,32.1
2018-07-27 09:54:00,31.9
2018-07-27 09:56:00,31.9
2018-07-27 09:58:00,31.3
2018-07-27 10:00:00,31.0
2018-07-27 10:02:00,30.9
2018-07-27 10:04:00,30.3
2018-07-27 10:06:00,30.6
2018-07-27 10:08:00,30.9
2018-07-27 10:10:00,31.3
2018-07-27 10:12:00,31.2
2018-07-27 10:14:00,30.8
2018-07-27 10:16:00,30.6
2018-07-27 10:18:00,30.5
2018-07-27 10:20:00,30.6
2018-07-27 10:22:00,30.3
2018-07-27 10:24:00,30.1
2018-07-27 10:26:00,30.2
2018-07-27 10:28:00,30.4
2018-07-27 10:30:00,30.2
2018-07-27 10:32:00,30.3
2018-07-27 10:34:00,30.8
2018-07-27 10:36:00,29.9
2018-07-27 10:38:00,29.7
2018-07-27 10:40:00,29.5
2018-07-27 10:42:00,29.4
2018-07-27 10:44:00,29.4
2018-07-27 10:46:00,29.6
2018-07-27 10:48:00,29.3
2018-07-27 10:50:00,28.9
2018-07-27 10:52:00,28.9
2018-07-27 10:54:00,29.5
2018-07-27 10:56:00,29.5
2018-07-27 10:58:00,29.3
2018-07-27 11:00:00,29.3
2018-07-27 11:02:00,29.2
2018-07-27 11:04:00,28.8
2018-07-27 11:06:00,28.9
2018-07-27 11:08:00,29.1
2018-07-27 11:10:00,29.1
2018-07-27 11:12:00,28.9
2018-07-27 11:14:00,29.3
2018-07-27 11:16:00,29.4
2018-07-27 11:18:00,29.2
2018-07-27 11:20:00,29.2
2018-07-27 11:22:00,29
2018-07-27 11:24:00,28.8
2018-07-27 11:26:00,28.5
2018-07-27 11:28:00,28.4
2018-07-27 11:30:00,28.7
2018-07-27 11:32:00,28.7
2018-07-27 11:34:00,28.5
2018-07-27 11:36:00,28.3
2018-07-27 11:38:00,28
2018-07-27 11:40:00,28.2
2018-07-27 11:42:00,28.1
2018-07-27 11:44:00,27.9
2018-07-27 11:46:00,27.9
2018-07-27 11:48:00,27.7
2018-07-27 11:50:00,27.5
2018-07-27 11:52:00,26.8
2018-07-27 11:54:00,26.6
2018-07-27 11:56:00,26.4
2018-07-27 11:58:00,26.2
2018-07-27 12:00:00,25.9
2018-07-27 12:02:00,25.7
2018-07-27 12:04:00,25.3
2018-07-27 12:06:00,25.3
2018-07-27 12:08:00,25.4
2018-07-27 12:10:00,25.4
2018-07-27 12:12:00,24.7
2018-07-27 12:14:00,23.9
2018-07-27 12:16:00,24.0
2018-07-27 12:18:00,24.2
2018-07-27 12:20:00,24.2
2018-07-27 12:22:00,24.1
2018-07-27 12:24:00,24.6
2018-07-27 12:26:00,25.1
2018-07-27 12:28:00,25.3
2018-07-27 12:30:00,25.4
2018-07-27 12:32:00,25.3
2018-07-27 12:34:00,25.5
2018-07-27 12:36:00,25.4
2018-07-27 12:38:00,25.1
2018-07-27 12:40:00,24.8
2018-07-27 12:42:00,25.0
2018-07-27 12:44:00,24.8
