"Time","radiation.mean {site_location: fhz}"
2018-07-27 14:30:00,650
2018-07-27 14:32:00,643
2018-07-27 14:34:00,645
2018-07-27 14:36:00,640
2018-07-27 14:38:00,638
2018-07-27 14:40:00,638
2018-07-27 14:42:00,632
2018-07-27 14:44:00,628
2018-07-27 14:46:00,627
2018-07-27 14:48:00,621
2018-07-27 14:50:00,615
2018-07-27 14:52:00,608
2018-07-27 14:54:00,604
2018-07-27 14:56:00,599
2018-07-27 14:58:00,597
2018-07-27 15:00:00,594
2018-07-27 15:02:00,584
2018-07-27 15:04:00,581
2018-07-27 15:06:00,577
2018-07-27 15:08:00,571
2018-07-27 15:10:00,566
2018-07-27 15:12:00,563
2018-07-27 15:14:00,556
2018-07-27 15:16:00,558
2018-07-27 15:18:00,550
2018-07-27 15:20:00,543
2018-07-27 15:22:00,540
2018-07-27 15:24:00,536
2018-07-27 15:26:00,528
2018-07-27 15:28:00,524
2018-07-27 15:30:00,520
2018-07-27 15:32:00,511
2018-07-27 15:34:00,508
2018-07-27 15:36:00,502
2018-07-27 15:38:00,498
2018-07-27 15:40:00,495
2018-07-27 15:42:00,484
2018-07-27 15:44:00,474
2018-07-27 15:46:00,467
2018-07-27 15:48:00,467
2018-07-27 15:50:00,463
2018-07-27 15:52:00,458
2018-07-27 15:54:00,451
2018-07-27 15:56:00,444
2018-07-27 15:58:00,439
2018-07-27 16:00:00,440
2018-07-27 16:02:00,434
2018-07-27 16:04:00,434
2018-07-27 16:06:00,429
2018-07-27 16:08:00,422
2018-07-27 16:10:00,416
2018-07-27 16:12:00,409
2018-07-27 16:14:00,402
2018-07-27 16:16:00,397
2018-07-27 16:18:00,393
2018-07-27 16:20:00,389
2018-07-27 16:22:00,385
2018-07-27 16:24:00,378
2018-07-27 16:26:00,371
2018-07-27 16:28:00,361
2018-07-27 16:30:00,340
2018-07-27 16:32:00,303
2018-07-27 16:34:00,209
2018-07-27 16:36:00,218
2018-07-27 16:38:00,331
2018-07-27 16:40:00,331
2018-07-27 16:42:00,327
2018-07-27 16:44:00,322
2018-07-27 16:46:00,319
2018-07-27 16:48:00,311
2018-07-27 16:50:00,306
2018-07-27 16:52:00,306
2018-07-27 16:54:00,301
2018-07-27 16:56:00,292
2018-07-27 16:58:00,284
2018-07-27 17:00:00,281
2018-07-27 17:02:00,274
2018-07-27 17:04:00,267
2018-07-27 17:06:00,261
2018-07-27 17:08:00,255
2018-07-27 17:10:00,249
2018-07-27 17:12:00,241
2018-07-27 17:14:00,232
2018-07-27 17:16:00,228
2018-07-27 17:18:00,224
2018-07-27 17:20:00,221
2018-07-27 17:22:00,216
2018-07-27 17:24:00,217
2018-07-27 17:26:00,218
2018-07-27 17:28:00,213
2018-07-27 17:30:00,211
2018-07-27 17:32:00,209
2018-07-27 17:34:00,204
2018-07-27 17:36:00,194
2018-07-27 17:38:00,189
2018-07-27 17:40:00,186
2018-07-27 17:42:00,174
2018-07-27 17:44:00,104
2018-07-27 17:46:00,124
2018-07-27 17:48:00,106
2018-07-27 17:50:00,114
2018-07-27 17:52:00,118
2018-07-27 17:54:00,143
2018-07-27 17:56:00,137
2018-07-27 17:58:00,132
2018-07-27 18:00:00,128
2018-07-27 18:02:00,124
2018-07-27 18:04:00,120
2018-07-27 18:06:00,116
2018-07-27 18:08:00,112
2018-07-27 18:10:00,107
2018-07-27 18:12:00,92.6
2018-07-27 18:14:00,36.8
2018-07-27 18:16:00,23.1
2018-07-27 18:18:00,22.5
2018-07-27 18:20:00,22.2
2018-07-27 18:22:00,21.5
2018-07-27 18:24:00,20.6
2018-07-27 18:26:00,20.1
2018-07-27 18:28:00,19.3
2018-07-27 18:30:00,17.4
2018-07-27 18:32:00,16.1
2018-07-27 18:34:00,14
2018-07-27 18:36:00,11.5
2018-07-27 18:38:00,10.4
2018-07-27 18:40:00,9
2018-07-27 18:42:00,8.65
2018-07-27 18:44:00,8.80
2018-07-27 18:46:00,9.05
2018-07-27 18:48:00,9.25
2018-07-27 18:50:00,9.25
2018-07-27 18:52:00,9.85
2018-07-27 18:54:00,9.15
2018-07-27 18:56:00,7.15
2018-07-27 18:58:00,4.70
2018-07-27 19:00:00,1.70
2018-07-27 19:02:00,0.0500
2018-07-27 19:04:00,0
2018-07-27 19:06:00,0
2018-07-27 19:08:00,0
2018-07-27 19:10:00,0
2018-07-27 19:12:00,0
2018-07-27 19:14:00,0
2018-07-27 19:16:00,0
2018-07-27 19:18:00,0
2018-07-27 19:20:00,0
2018-07-27 19:22:00,0
2018-07-27 19:24:00,0
2018-07-27 19:26:00,0
2018-07-27 19:28:00,0
2018-07-27 19:30:00,0
2018-07-27 19:32:00,0
2018-07-27 19:34:00,0
2018-07-27 19:36:00,0
2018-07-27 19:38:00,0
2018-07-27 19:40:00,0
2018-07-27 19:42:00,0
2018-07-27 19:44:00,0
2018-07-27 19:46:00,0
2018-07-27 19:48:00,0
2018-07-27 19:50:00,0
2018-07-27 19:52:00,0
2018-07-27 19:54:00,0
2018-07-27 19:56:00,0
2018-07-27 19:58:00,0
2018-07-27 20:00:00,0
2018-07-27 20:02:00,0
2018-07-27 20:04:00,0
2018-07-27 20:06:00,0
2018-07-27 20:08:00,0
2018-07-27 20:10:00,0
2018-07-27 20:12:00,0
2018-07-27 20:14:00,0
2018-07-27 20:16:00,0
2018-07-27 20:18:00,0
2018-07-27 20:20:00,0
2018-07-27 20:22:00,0
2018-07-27 20:24:00,0
2018-07-27 20:26:00,0
2018-07-27 20:28:00,0
2018-07-27 20:30:00,0
2018-07-27 20:32:00,0
2018-07-27 20:34:00,0
2018-07-27 20:36:00,0
2018-07-27 20:38:00,0
2018-07-27 20:40:00,0
2018-07-27 20:42:00,0
2018-07-27 20:44:00,0
2018-07-27 20:46:00,0
2018-07-27 20:48:00,0
2018-07-27 20:50:00,0
2018-07-27 20:52:00,0
2018-07-27 20:54:00,0
2018-07-27 20:56:00,0
2018-07-27 20:58:00,0
2018-07-27 21:00:00,0
2018-07-27 21:02:00,0
2018-07-27 21:04:00,0
2018-07-27 21:06:00,0
2018-07-27 21:08:00,0
2018-07-27 21:10:00,0
2018-07-27 21:12:00,0
2018-07-27 21:14:00,0
2018-07-27 21:16:00,0
2018-07-27 21:18:00,0
2018-07-27 21:20:00,0
2018-07-27 21:22:00,0
2018-07-27 21:24:00,0
2018-07-27 21:26:00,0
2018-07-27 21:28:00,0
2018-07-27 21:30:00,0
2018-07-27 21:32:00,0
2018-07-27 21:34:00,0
2018-07-27 21:36:00,0
2018-07-27 21:38:00,0
2018-07-27 21:40:00,0
2018-07-27 21:42:00,0
2018-07-27 21:44:00,0
2018-07-27 21:46:00,0
2018-07-27 21:48:00,0
2018-07-27 21:50:00,0
2018-07-27 21:52:00,0
2018-07-27 21:54:00,0
2018-07-27 21:56:00,0
2018-07-27 21:58:00,0

